DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
02/29/2020,1,0,0
03/03/2020,1,1,0
03/04/2020,5,2,0
03/05/2020,3,8,0
03/06/2020,8,5,0
03/07/2020,7,6,0
03/08/2020,21,15,0
03/09/2020,57,30,0
03/10/2020,70,49,0
03/11/2020,155,73,1
03/12/2020,357,79,0
03/13/2020,619,145,0
03/14/2020,642,156,2
03/15/2020,1037,196,5
03/16/2020,2121,330,8
03/17/2020,2452,360,8
03/18/2020,2971,491,20
03/19/2020,3707,571,24
03/20/2020,4007,701,47
03/21/2020,2637,736,44
03/22/2020,2580,763,50
03/23/2020,3570,1111,82
03/24/2020,4503,1244,95
03/25/2020,4874,1396,123
03/26/2020,5047,1543,190
03/27/2020,5118,1502,218
03/28/2020,3479,1439,274
03/29/2020,3562,1471,292
03/30/2020,6130,1835,325
03/31/2020,5461,1804,385
04/01/2020,5450,1757,447
04/02/2020,5748,1732,499
04/03/2020,5670,1688,498
04/04/2020,3866,1431,512
04/05/2020,3782,1394,580
04/06/2020,6354,1805,575
04/07/2020,6045,1686,599
04/08/2020,5580,1618,569
04/09/2020,5071,1482,561
04/10/2020,4512,1395,540
04/11/2020,3732,1161,542
04/12/2020,2888,1033,572
04/13/2020,3313,1264,570
04/14/2020,4146,1128,510
04/15/2020,3878,1003,455
04/16/2020,3529,902,414
04/17/2020,3584,898,385
04/18/2020,2172,666,390
04/19/2020,2346,587,399
04/20/2020,3794,709,364
04/21/2020,3064,654,324
04/22/2020,3461,577,313
04/23/2020,2842,504,332
04/24/2020,2535,517,315
04/25/2020,1597,366,264
04/26/2020,1003,339,246
04/27/2020,2289,394,270
04/28/2020,2728,396,229
04/29/2020,2341,327,240
04/30/2020,2022,283,225
05/01/2020,1888,292,210
05/02/2020,1058,225,191
05/03/2020,786,216,177
05/04/2020,1551,253,159
05/05/2020,1512,229,152
05/06/2020,1398,229,151
05/07/2020,1237,198,142
05/08/2020,1082,208,131
05/09/2020,658,146,99
05/10/2020,458,108,103
05/11/2020,1232,192,104
05/12/2020,1285,136,91
05/13/2020,1335,151,83
05/14/2020,1112,146,70
05/15/2020,875,140,87
05/16/2020,486,91,83
05/17/2020,359,83,77
05/18/2020,897,112,59
05/19/2020,1004,127,55
05/20/2020,1078,88,80
05/21/2020,1069,95,45
05/22/2020,1039,115,65
05/23/2020,457,73,60
05/24/2020,467,82,49
05/25/2020,467,86,48
05/26/2020,1053,75,38
05/27/2020,745,84,48
05/28/2020,646,79,38
05/29/2020,646,92,42
05/30/2020,349,57,54
05/31/2020,230,62,39
06/01/2020,687,79,35
06/02/2020,574,70,38
06/03/2020,516,81,43
06/04/2020,523,74,33
06/05/2020,404,58,28
06/06/2020,246,41,35
06/07/2020,198,54,25
06/08/2020,451,62,39
06/09/2020,421,61,33
06/10/2020,365,60,31
06/11/2020,366,56,21
06/12/2020,410,59,24
