Category: All categories

Week,face mask: (Florida)
2019-11-24,3
2019-12-01,3
2019-12-08,3
2019-12-15,3
2019-12-22,3
2019-12-29,4
2020-01-05,3
2020-01-12,3
2020-01-19,4
2020-01-26,8
2020-02-02,5
2020-02-09,5
2020-02-16,5
2020-02-23,22
2020-03-01,16
2020-03-08,14
2020-03-15,21
2020-03-22,28
2020-03-29,87
2020-04-05,100
2020-04-12,76
2020-04-19,57
2020-04-26,50
2020-05-03,46
2020-05-10,48
2020-05-17,41
2020-05-24,35
2020-05-31,28
2020-06-07,30
2020-06-14,42
2020-06-21,60
2020-06-28,61
2020-07-05,48
2020-07-12,53
2020-07-19,46
2020-07-26,38
2020-08-02,35
2020-08-09,32
2020-08-16,28
2020-08-23,24
2020-08-30,20
2020-09-06,18
2020-09-13,18
2020-09-20,19
2020-09-27,17
2020-10-04,17
2020-10-11,15
2020-10-18,16
2020-10-25,16
2020-11-01,10
2020-11-08,13
2020-11-15,14
2020-11-22,18
