Category: All categories

Week,face mask: (New York NY)
2019-11-24,5
2019-12-01,6
2019-12-08,6
2019-12-15,5
2019-12-22,6
2019-12-29,6
2020-01-05,5
2020-01-12,5
2020-01-19,8
2020-01-26,19
2020-02-02,14
2020-02-09,11
2020-02-16,8
2020-02-23,33
2020-03-01,27
2020-03-08,28
2020-03-15,35
2020-03-22,45
2020-03-29,100
2020-04-05,92
2020-04-12,95
2020-04-19,84
2020-04-26,69
2020-05-03,65
2020-05-10,59
2020-05-17,61
2020-05-24,58
2020-05-31,39
2020-06-07,38
2020-06-14,43
2020-06-21,45
2020-06-28,51
2020-07-05,49
2020-07-12,48
2020-07-19,45
2020-07-26,39
2020-08-02,37
2020-08-09,40
2020-08-16,36
2020-08-23,35
2020-08-30,35
2020-09-06,32
2020-09-13,27
2020-09-20,27
2020-09-27,24
2020-10-04,26
2020-10-11,24
2020-10-18,24
2020-10-25,22
2020-11-01,16
2020-11-08,19
2020-11-15,22
2020-11-22,20
