Category: All categories

Week,face mask: (Los Angeles CA)
2019-11-24,2
2019-12-01,2
2019-12-08,2
2019-12-15,3
2019-12-22,3
2019-12-29,3
2020-01-05,3
2020-01-12,3
2020-01-19,5
2020-01-26,13
2020-02-02,7
2020-02-09,6
2020-02-16,5
2020-02-23,14
2020-03-01,13
2020-03-08,13
2020-03-15,19
2020-03-22,25
2020-03-29,84
2020-04-05,100
2020-04-12,58
2020-04-19,38
2020-04-26,33
2020-05-03,31
2020-05-10,32
2020-05-17,29
2020-05-24,27
2020-05-31,20
2020-06-07,22
2020-06-14,27
2020-06-21,30
2020-06-28,30
2020-07-05,27
2020-07-12,27
2020-07-19,24
2020-07-26,20
2020-08-02,19
2020-08-09,18
2020-08-16,14
2020-08-23,12
2020-08-30,12
2020-09-06,12
2020-09-13,12
2020-09-20,11
2020-09-27,12
2020-10-04,11
2020-10-11,11
2020-10-18,11
2020-10-25,11
2020-11-01,8
2020-11-08,9
2020-11-15,10
2020-11-22,18
